ano,mes,sigla_uf,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,quantidade_horas_contratadas,salario_mensal,indicador_aprendiz,indicador_portador_deficiencia,cbo_2002,grau_instrucao,idade,sexo,raca_cor,previsao
2019,3,RO,1,3,2,1,44,1200.0,0,0,6,6,37,1,4.0,1
2019,12,RO,1,1,2,3,44,1400.0,0,0,7,6,38,1,8.0,1
2019,4,RO,0,1,4,1,44,998.0,0,0,7,7,22,1,8.0,0
2018,4,RO,1,1,2,4,44,1010.0,0,0,4,8,20,0,8.0,1
2018,4,RO,1,1,2,3,44,1000.0,0,0,7,7,24,1,9.0,1
2019,9,RO,1,1,2,4,44,1290.0,0,0,7,7,45,1,8.0,1
2018,8,RO,1,1,2,1,44,1086.0,0,0,4,7,19,1,8.0,1
2019,4,RO,1,1,2,3,36,1128.0,0,0,5,7,24,0,9.0,1
2019,8,RO,1,1,2,3,44,1500.0,0,0,4,8,35,0,9.0,1
2019,3,RO,0,1,4,4,44,998.0,0,0,5,7,33,0,8.0,0
2019,5,RO,0,1,4,1,44,1874.0,0,0,1,7,48,0,2.0,0
2019,1,RO,0,1,4,2,44,1140.0,0,0,5,7,40,1,9.0,0
2019,8,RO,0,1,4,4,44,2620.0,0,0,7,6,37,1,9.0,0
2019,8,RO,0,1,4,3,36,1115.0,0,0,5,7,35,1,2.0,0
2018,2,RO,0,1,4,1,44,1085.0,0,0,2,7,24,0,2.0,0
2019,6,RO,0,1,4,5,44,1558.0,0,0,7,5,41,1,2.0,0
2019,8,RO,0,1,4,4,44,3500.0,0,0,1,7,46,1,8.0,0
2019,3,RO,0,1,4,1,44,1128.0,0,0,5,7,36,0,2.0,0
2018,9,RO,1,1,1,7,44,1086.0,0,0,5,4,20,0,8.0,1
2019,3,RO,1,1,1,7,44,1136.0,0,0,5,7,19,0,8.0,1
2018,3,RO,1,1,2,4,31,1085.0,0,0,3,7,26,1,8.0,1
2018,10,RO,1,1,2,3,44,1500.0,0,0,1,7,36,1,2.0,1
2018,4,RO,1,1,2,4,36,1603.0,0,0,3,7,39,0,2.0,1
2018,3,RO,1,1,2,1,44,1120.0,0,0,5,2,39,0,8.0,1
2019,3,RO,0,1,4,1,44,2700.0,0,0,4,9,26,0,2.0,0
2018,5,RO,0,1,4,5,44,1308.0,0,0,5,7,34,1,8.0,0
2019,5,RO,0,1,4,2,36,5724.0,0,0,2,9,59,1,9.0,0
2019,5,RO,0,3,4,1,44,2580.0,0,0,5,7,28,0,9.0,0
2019,6,RO,0,1,4,4,24,0.0,0,0,5,2,32,0,9.0,0
2018,11,RO,0,1,6,1,44,1085.0,0,0,2,7,49,1,8.0,0
2018,10,RO,0,1,11,6,44,1471.0,0,0,7,7,26,1,8.0,0
2019,3,RO,0,1,11,1,36,1077.0,0,0,5,7,25,1,9.0,0
2019,2,RO,1,1,25,5,44,1136.0,0,0,4,6,31,0,8.0,1
2019,8,RO,1,1,2,2,44,1100.0,0,0,9,7,18,1,8.0,1
2018,9,RO,0,1,4,4,44,1085.0,0,0,5,7,31,1,8.0,0
2018,9,RO,0,3,6,4,44,954.0,0,0,6,4,30,1,2.0,0
2019,7,RO,1,1,2,3,44,1190.0,0,0,7,7,45,1,9.0,1
2019,4,RO,1,1,2,3,44,1996.0,0,0,7,2,26,1,8.0,1
2018,6,RO,0,3,4,4,44,477.0,0,0,6,6,67,0,8.0,0
2018,12,RO,0,3,4,1,44,954.0,0,0,7,7,36,1,9.0,0
2018,5,RO,0,1,6,6,44,1086.0,0,0,5,8,21,1,8.0,0
2019,2,RO,1,1,2,3,44,0.0,0,0,5,6,29,1,8.0,1
2019,1,RO,1,1,2,2,44,0.0,0,0,3,7,32,1,9.0,1
2018,6,RO,1,1,2,4,36,1023.0,0,0,5,7,31,1,9.0,1
2018,5,RO,0,1,4,1,44,1085.0,0,0,3,7,30,0,8.0,0
2019,4,RO,0,1,6,8,44,1247.0,0,0,8,7,27,1,8.0,0
2019,6,RO,0,1,11,4,24,550.0,1,0,4,6,17,1,2.0,0
2019,9,RO,1,1,2,4,44,1024.0,0,0,5,6,36,0,8.0,1
2018,7,RO,1,1,2,1,44,1085.0,0,0,5,7,27,1,4.0,1
2019,12,RO,1,1,2,4,44,1137.0,0,0,3,7,38,0,8.0,1
2019,7,RO,1,1,2,4,44,998.0,0,0,4,7,20,1,9.0,1
2018,11,RO,1,1,2,6,44,1625.0,0,0,7,4,41,1,8.0,1
2019,12,RO,1,1,2,3,44,1128.0,0,0,7,8,27,1,8.0,1
2019,8,RO,0,1,4,1,44,2000.0,0,0,7,7,40,1,9.0,0
2019,4,RO,0,1,4,1,44,1128.0,0,0,5,7,20,1,8.0,0
2018,9,RO,0,1,4,1,44,1085.0,0,0,5,6,19,0,9.0,0
2018,8,RO,0,1,4,1,44,2325.0,0,0,7,7,26,1,8.0,0
2019,4,RO,0,1,4,1,44,1128.0,0,0,5,7,19,0,8.0,0
2019,2,RO,0,1,4,2,44,1907.0,0,0,4,7,42,1,8.0,0
2019,2,RO,0,1,4,6,44,1625.0,0,0,7,5,52,1,8.0,0
2019,11,RO,0,1,11,1,44,1128.0,0,0,4,7,18,1,4.0,0
2018,6,RO,1,1,2,3,44,1010.0,0,0,4,7,22,1,8.0,1
2019,4,RO,1,1,2,1,44,998.0,0,0,7,6,30,1,2.0,1
